"n_years","Treeless_total_arable_total_cost","Treeless_total_einkorn_cost","Treeless_total_wheat_cost","Treeless_total_dinkel_cost","PPcost_einkorn","PPcost_wheat","PPcost_dinkel","Treeless_insurance","Treeless_total_benefit","Treeless_einkorn_benefit","Treeless_wheat_benefit","Treeless_dinkel_benefit","Treeless_bottom_line_benefit"
60,7045.94620311322,0,0,2053.06504528149,0,0,4354.67081101829,638.210346813439,61680.1010979376,0,0,61680.1010979376,73377.5163533663
60,6473.83245107417,2225.10386599239,0,0,3660.13907081046,0,0,588.589514271326,56884.4753562947,56884.4753562947,0,0,50410.6429052205
60,9699.09816342083,0,3531.70749447299,0,0,5458.3886367813,0,709.002032166541,68521.7926049371,0,68521.7926049371,0,58822.6944415163
60,6993.4338131357,0,0,1617.97865710268,0,0,4646.57295685554,728.882199177474,70443.1195110279,0,0,70443.1195110279,63449.6856978922
60,7835.21235900878,1646.09076556235,0,0,5198.48015754659,0,0,990.641435899846,95740.9484556196,95740.9484556196,0,0,118554.893157307
60,11005.644776911,0,4077.03812414045,0,0,5977.12521465922,0,951.481438111311,91956.3143852824,0,91956.3143852824,0,80950.6696083714
60,6374.88812237908,0,0,2981.69876589672,0,0,2837.14912736729,556.040229115069,53738.7363235015,0,0,53738.7363235015,47363.8482011224
60,5326.02122320725,1858.79188463268,0,0,2892.68732227058,0,0,574.54201630399,55526.8491455563,55526.8491455563,0,0,50200.827922349
60,8822.56512332576,0,1338.26733550168,0,0,6155.99178516187,0,1328.3060026622,128374.679198286,0,128374.679198286,0,119552.11407496
60,7247.68017096354,0,0,1710.23991088172,0,0,4918.40098870605,619.039271375767,59827.3046381875,0,0,59827.3046381875,52579.6244672239
60,7048.93742922694,2116.57624773872,0,0,4131.74567215742,0,0,800.615509330804,77375.8147335961,77375.8147335961,0,0,101541.630845128
60,8907.10890736727,0,1871.71826833347,0,0,5986.53593803018,0,1048.85470100362,101366.993371327,0,101366.993371327,0,92459.8844639597
60,6130.8746860728,0,0,1422.91360550476,0,0,3956.30588107989,751.655199488149,72644.0254795367,0,0,72644.0254795367,66513.1507934639
60,6164.0772147868,1694.6664084332,0,0,3776.68674882282,0,0,692.724057530771,66948.6010604612,66948.6010604612,0,0,60784.5238456744
60,8619.56933152175,0,2952.81380973087,0,0,4783.25721639905,0,883.498305391833,85386.0566011075,0,85386.0566011075,0,76766.4872695857
60,6989.66748971244,0,0,1377.30807316057,0,0,4789.68730502899,822.672111522885,79507.4841116894,0,0,79507.4841116894,72517.816621977
60,4803.13922795302,1885.56905262591,0,0,2467.18994301711,0,0,450.380232310005,43527.1825348738,43527.1825348738,0,0,38724.0433069208
60,9925.77349584666,0,2755.90051377147,0,0,6192.59795534525,0,977.275026729933,94449.1463514496,0,94449.1463514496,0,84523.3728556029
60,7149.11339907507,0,0,2279.44488559519,0,0,4332.27734556165,537.391167918238,51936.3901444627,0,0,51936.3901444627,44787.2767453877
